Year_Month,Card_type,Line,Trip
Nov-16,Employee,F7 Eastern Suburbs,546
Nov-16,Free Travel,F7 Eastern Suburbs,185
Nov-16,School Student,F7 Eastern Suburbs,111
Nov-16,Senior/Pensioner,F7 Eastern Suburbs,18937
Nov-16,Sgl Trip Ferry Adult,F7 Eastern Suburbs,4123
Nov-16,Sgl Trip Ferry Child/Youth,F7 Eastern Suburbs,410
Dec-16,Adult,118F Newcastle,24506
Dec-16,Child/Youth,118F Newcastle,4737
Dec-16,Concession,118F Newcastle,898
Dec-16,Employee,118F Newcastle,573
Dec-16,Free Travel,118F Newcastle,355
Dec-16,School Student,118F Newcastle,418
Dec-16,Senior/Pensioner,118F Newcastle,9430
Dec-16,Adult,F1 Manly,385528
Dec-16,Child/Youth,F1 Manly,55904
Dec-16,Concession,F1 Manly,10856
Dec-16,Employee,F1 Manly,2161
Dec-16,Free Travel,F1 Manly,714
Dec-16,School Student,F1 Manly,100
Dec-16,Senior/Pensioner,F1 Manly,66706
Dec-16,Sgl Trip Ferry Adult,F1 Manly,35160
Dec-16,Sgl Trip Ferry Child/Youth,F1 Manly,7347
Dec-16,Adult,F2 Taronga Zoo,92999
Dec-16,Child/Youth,F2 Taronga Zoo,18672
Dec-16,Concession,F2 Taronga Zoo,2450
Dec-16,Employee,F2 Taronga Zoo,301
Dec-16,Free Travel,F2 Taronga Zoo,127
Dec-16,School Student,F2 Taronga Zoo,6
Dec-16,Senior/Pensioner,F2 Taronga Zoo,10176
Dec-16,Sgl Trip Ferry Adult,F2 Taronga Zoo,5902
Dec-16,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,1600
Dec-16,Adult,F3 Parramatta River,205691
Dec-16,Child/Youth,F3 Parramatta River,24752
Dec-16,Concession,F3 Parramatta River,5238
Dec-16,Employee,F3 Parramatta River,1064
Dec-16,Free Travel,F3 Parramatta River,367
Dec-16,School Student,F3 Parramatta River,176
Dec-16,Senior/Pensioner,F3 Parramatta River,37820
Dec-16,Sgl Trip Ferry Adult,F3 Parramatta River,11064
Dec-16,Sgl Trip Ferry Child/Youth,F3 Parramatta River,3122
Dec-16,Adult,F4 Darling Harbour,136935
Dec-16,Child/Youth,F4 Darling Harbour,24077
Dec-16,Concession,F4 Darling Harbour,2991
Dec-16,Employee,F4 Darling Harbour,726
Dec-16,Free Travel,F4 Darling Harbour,269
Dec-16,School Student,F4 Darling Harbour,52
Dec-16,Senior/Pensioner,F4 Darling Harbour,23360
Dec-16,Sgl Trip Ferry Adult,F4 Darling Harbour,10832
Dec-16,Sgl Trip Ferry Child/Youth,F4 Darling Harbour,2936
Dec-16,Adult,F5 Neutral Bay,38196
Dec-16,Child/Youth,F5 Neutral Bay,2499
Dec-16,Concession,F5 Neutral Bay,1053
Dec-16,Employee,F5 Neutral Bay,197
Dec-16,Free Travel,F5 Neutral Bay,80
Dec-16,School Student,F5 Neutral Bay,1
Dec-16,Senior/Pensioner,F5 Neutral Bay,9640
Dec-16,Sgl Trip Ferry Adult,F5 Neutral Bay,1476
Dec-16,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,327
Dec-16,Adult,F6 Mosman Bay,57044
Dec-16,Child/Youth,F6 Mosman Bay,4994
Dec-16,Concession,F6 Mosman Bay,1698
Dec-16,Employee,F6 Mosman Bay,415
Dec-16,Free Travel,F6 Mosman Bay,129
Dec-16,School Student,F6 Mosman Bay,17
Dec-16,Senior/Pensioner,F6 Mosman Bay,13820
Dec-16,Sgl Trip Ferry Adult,F6 Mosman Bay,1897
Dec-16,Sgl Trip Ferry Child/Youth,F6 Mosman Bay,502
Dec-16,Adult,F7 Eastern Suburbs,109764
Dec-16,Child/Youth,F7 Eastern Suburbs,9057
Dec-16,Concession,F7 Eastern Suburbs,2721
Dec-16,Employee,F7 Eastern Suburbs,533
Dec-16,Free Travel,F7 Eastern Suburbs,178
Dec-16,School Student,F7 Eastern Suburbs,26
Dec-16,Senior/Pensioner,F7 Eastern Suburbs,16309
Dec-16,Sgl Trip Ferry Adult,F7 Eastern Suburbs,4376
Dec-16,Sgl Trip Ferry Child/Youth,F7 Eastern Suburbs,939
Jan-17,Adult,118F Newcastle,22873
Jan-17,Child/Youth,118F Newcastle,6876
Jan-17,Concession,118F Newcastle,850
Jan-17,Employee,118F Newcastle,374
Jan-17,Free Travel,118F Newcastle,228
Jan-17,School Student,118F Newcastle,54
Jan-17,Senior/Pensioner,118F Newcastle,8009
Jan-17,Adult,F1 Manly,437077
Jan-17,Child/Youth,F1 Manly,83388
Jan-17,Concession,F1 Manly,10894
Jan-17,Employee,F1 Manly,2406
Jan-17,Free Travel,F1 Manly,833
Jan-17,School Student,F1 Manly,17
Jan-17,Senior/Pensioner,F1 Manly,82368
Jan-17,Sgl Trip Ferry Adult,F1 Manly,39245
Jan-17,Sgl Trip Ferry Child/Youth,F1 Manly,8852
Jan-17,Adult,F2 Taronga Zoo,100751
Jan-17,Child/Youth,F2 Taronga Zoo,26182
Jan-17,Concession,F2 Taronga Zoo,2579
Jan-17,Employee,F2 Taronga Zoo,354
Jan-17,Free Travel,F2 Taronga Zoo,93
Jan-17,School Student,F2 Taronga Zoo,1
Jan-17,Senior/Pensioner,F2 Taronga Zoo,12826
Jan-17,Sgl Trip Ferry Adult,F2 Taronga Zoo,6571
Jan-17,Sgl Trip Ferry Child/Youth,F2 Taronga Zoo,2031
Jan-17,Adult,F3 Parramatta River,229648
Jan-17,Child/Youth,F3 Parramatta River,39487
Jan-17,Concession,F3 Parramatta River,5871
Jan-17,Employee,F3 Parramatta River,1090
Jan-17,Free Travel,F3 Parramatta River,378
Jan-17,School Student,F3 Parramatta River,40
Jan-17,Senior/Pensioner,F3 Parramatta River,44549
Jan-17,Sgl Trip Ferry Adult,F3 Parramatta River,11673
Jan-17,Sgl Trip Ferry Child/Youth,F3 Parramatta River,4171
Jan-17,Adult,F4 Darling Harbour,159297
Jan-17,Child/Youth,F4 Darling Harbour,38932
Jan-17,Concession,F4 Darling Harbour,3369
Jan-17,Employee,F4 Darling Harbour,769
Jan-17,Free Travel,F4 Darling Harbour,334
Jan-17,School Student,F4 Darling Harbour,14
Jan-17,Senior/Pensioner,F4 Darling Harbour,31014
Jan-17,Sgl Trip Ferry Adult,F4 Darling Harbour,11861
Jan-17,Sgl Trip Ferry Child/Youth,F4 Darling Harbour,4128
Jan-17,Adult,F5 Neutral Bay,38287
Jan-17,Child/Youth,F5 Neutral Bay,3198
Jan-17,Concession,F5 Neutral Bay,944
Jan-17,Employee,F5 Neutral Bay,149
Jan-17,Free Travel,F5 Neutral Bay,76
Jan-17,School Student,F5 Neutral Bay,1
Jan-17,Senior/Pensioner,F5 Neutral Bay,9708
Jan-17,Sgl Trip Ferry Adult,F5 Neutral Bay,1248
Jan-17,Sgl Trip Ferry Child/Youth,F5 Neutral Bay,318
